    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
   86	724.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
   87	725.90	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
   88	729.40	0.0000	0.9942	0.9971	1.0000	0.0030	1.0000
   89	724.70	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
   90	718.50	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
   91	729.00	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
   92	729.00	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
   93	732.00	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
   94	727.80	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
   95	733.20	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
   96	723.80	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
   97	727.90	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
   98	725.20	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
   99	728.60	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  100	721.50	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  101	724.10	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  102	719.50	0.0000	0.9941	0.9972	1.0000	0.0030	1.0000
  103	724.60	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  104	721.20	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  105	726.50	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  106	722.70	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  107	723.60	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  108	717.90	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  109	726.00	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  110	725.40	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  111	727.90	0.0000	0.9942	0.9971	1.0000	0.0030	1.0000
  112	721.10	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  113	721.50	0.0000	0.9941	0.9972	1.0000	0.0030	1.0000
  114	719.70	0.0000	0.9941	0.9972	1.0000	0.0030	1.0000
  115	726.50	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  116	728.40	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  117	725.40	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  118	720.30	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  119	719.70	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  120	720.60	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  121	719.30	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  122	719.60	0.0000	0.9942	0.9971	1.0000	0.0030	1.0000
  123	719.50	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  124	725.20	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  125	720.10	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  126	719.00	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  127	716.60	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  128	722.10	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  129	720.60	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  130	717.10	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  131	713.00	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  132	714.70	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  133	718.20	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  134	721.10	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  135	717.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  136	720.50	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  137	717.00	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  138	731.50	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  139	724.30	0.0000	0.9940	0.9972	1.0000	0.0031	1.0000
  140	728.10	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  141	726.60	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  142	730.00	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  143	722.50	0.0000	0.9941	0.9972	1.0000	0.0030	1.0000
  144	727.50	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  145	727.00	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  146	724.10	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  147	727.30	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  148	727.10	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  149	727.10	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  150	723.80	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  151	724.00	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  152	718.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  153	719.80	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  154	718.60	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  155	720.50	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  156	721.00	0.0000	0.9938	0.9971	1.0000	0.0032	1.0000
  157	719.90	0.0000	0.9938	0.9971	1.0000	0.0033	1.0000
  158	725.70	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  159	724.00	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  160	724.90	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  161	716.10	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
  162	722.10	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  163	722.80	0.0000	0.9940	0.9972	1.0000	0.0031	1.0000
  164	725.90	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
  165	728.00	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
  166	727.30	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
  167	725.60	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
  168	725.70	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
  169	719.80	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  170	725.70	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  171	723.40	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  172	720.70	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  173	717.30	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  174	717.40	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  175	720.50	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  176	717.00	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  177	718.50	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  178	726.20	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  179	719.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  180	717.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  181	719.80	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  182	720.80	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  183	719.80	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  184	716.90	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  185	723.30	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  186	724.60	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  187	718.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  188	716.80	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  189	713.40	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  190	714.00	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  191	717.60	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  192	717.90	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  193	719.40	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  194	719.90	0.0000	0.9941	0.9972	1.0000	0.0030	1.0000
  195	720.00	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  196	717.80	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  197	718.50	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  198	718.80	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  199	726.40	0.0000	0.9943	0.9972	1.0000	0.0029	1.0000
  200	725.00	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  201	725.30	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  202	727.40	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  203	727.70	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  204	726.40	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  205	726.30	0.0000	0.9942	0.9971	1.0000	0.0030	1.0000
  206	721.30	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  207	720.60	0.0000	0.9942	0.9971	1.0000	0.0030	1.0000
  208	729.90	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  209	727.80	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  210	724.70	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  211	731.00	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  212	726.10	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  213	722.90	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  214	730.40	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  215	733.10	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  216	729.20	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  217	726.80	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  218	727.20	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  219	715.00	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  220	720.80	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  221	724.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  222	726.20	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  223	723.00	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  224	722.50	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  225	720.20	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  226	724.10	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  227	725.70	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  228	724.00	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  229	717.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  230	709.60	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  231	713.20	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  232	719.10	0.0000	0.9942	0.9971	1.0000	0.0029	1.0000
  233	720.80	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  234	723.40	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  235	728.70	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  236	726.70	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  237	727.00	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  238	727.20	0.0000	0.9939	0.9971	1.0000	0.0031	1.0000
  239	719.50	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  240	725.90	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  241	727.80	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  242	729.40	0.0000	0.9942	0.9971	1.0000	0.0030	1.0000
  243	724.20	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  244	721.10	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  245	726.40	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  246	728.10	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  247	721.80	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  248	722.50	0.0000	0.9940	0.9972	1.0000	0.0031	1.0000
  249	723.70	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
  250	728.10	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  251	725.10	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  252	717.80	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
