    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	227.10	0.0000	0.0996	0.0996	1.0000	-0.0001	1.0000
    2	337.20	0.0000	0.1906	0.1906	1.0000	0.0002	1.0000
    3	403.70	0.0000	0.2668	0.2669	1.0000	0.0004	1.0000
    4	451.60	0.0000	0.3370	0.3372	1.0000	0.0008	1.0000
    5	483.70	0.0000	0.3968	0.3972	1.0000	0.0011	1.0000
    6	503.90	0.0000	0.4504	0.4509	1.0000	0.0012	1.0000
    7	537.30	0.0000	0.5054	0.5062	1.0000	0.0015	1.0000
    8	560.30	0.0000	0.5550	0.5559	1.0000	0.0017	1.0000
    9	574.50	0.0000	0.5995	0.6007	1.0000	0.0020	1.0000
   10	588.60	0.0000	0.6381	0.6395	1.0000	0.0022	1.0000
   11	603.20	0.0000	0.6739	0.6756	1.0000	0.0025	1.0000
   12	613.80	0.0000	0.7073	0.7090	1.0000	0.0025	1.0000
   13	622.50	0.0000	0.7349	0.7369	1.0000	0.0027	1.0000
   14	632.30	0.0000	0.7589	0.7609	1.0000	0.0027	1.0000
   15	634.80	0.0000	0.7800	0.7821	1.0000	0.0027	1.0000
   16	645.00	0.0000	0.7999	0.8022	1.0000	0.0029	1.0000
   17	647.10	0.0000	0.8212	0.8238	1.0000	0.0032	1.0000
   18	655.00	0.0000	0.8393	0.8420	1.0000	0.0032	1.0000
   19	660.80	0.0000	0.8548	0.8576	1.0000	0.0032	1.0000
   20	666.50	0.0000	0.8664	0.8690	1.0000	0.0030	1.0000
   21	675.30	0.0000	0.8793	0.8822	1.0000	0.0033	1.0000
   22	679.60	0.0000	0.8911	0.8940	1.0000	0.0032	1.0000
   23	682.70	0.0000	0.9000	0.9033	1.0000	0.0037	1.0000
   24	684.80	0.0000	0.9109	0.9145	1.0000	0.0040	1.0000
   25	683.00	0.0000	0.9207	0.9244	1.0000	0.0040	1.0000
   26	683.00	0.0000	0.9280	0.9314	1.0000	0.0037	1.0000
   27	694.90	0.0000	0.9355	0.9390	1.0000	0.0037	1.0000
   28	693.20	0.0000	0.9405	0.9439	1.0000	0.0035	1.0000
   29	694.80	0.0000	0.9464	0.9498	1.0000	0.0037	1.0000
   30	693.40	0.0000	0.9505	0.9539	1.0000	0.0036	1.0000
   31	695.30	0.0000	0.9523	0.9557	1.0000	0.0035	1.0000
   32	695.80	0.0000	0.9562	0.9596	1.0000	0.0036	1.0000
   33	698.60	0.0000	0.9607	0.9643	1.0000	0.0037	1.0000
   34	705.40	0.0000	0.9648	0.9683	1.0000	0.0036	1.0000
   35	703.30	0.0000	0.9664	0.9699	1.0000	0.0037	1.0000
   36	704.60	0.0000	0.9688	0.9722	1.0000	0.0035	1.0000
   37	708.00	0.0000	0.9715	0.9748	1.0000	0.0034	1.0000
