    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
  224	81.80	0.0000	0.8000	0.9771	1.0000	0.1813	1.0000
  225	81.80	0.0000	0.7994	0.9771	1.0000	0.1818	1.0000
  226	81.90	0.0000	0.8029	0.9774	1.0000	0.1786	1.0000
  227	81.40	0.0000	0.8005	0.9772	1.0000	0.1808	1.0000
  228	81.40	0.0000	0.8043	0.9776	1.0000	0.1773	1.0000
  229	81.40	0.0000	0.8037	0.9775	1.0000	0.1778	1.0000
  230	81.50	0.0000	0.8030	0.9774	1.0000	0.1785	1.0000
  231	82.00	0.0000	0.8022	0.9773	1.0000	0.1792	1.0000
  232	81.00	0.0000	0.8025	0.9773	1.0000	0.1789	1.0000
  233	80.60	0.0000	0.8003	0.9771	1.0000	0.1810	1.0000
  234	80.50	0.0000	0.8004	0.9772	1.0000	0.1809	1.0000
  235	81.30	0.0000	0.8000	0.9771	1.0000	0.1813	1.0000
  236	82.00	0.0000	0.7969	0.9768	1.0000	0.1842	1.0000
  237	81.90	0.0000	0.7981	0.9769	1.0000	0.1830	1.0000
  238	81.70	0.0000	0.8031	0.9775	1.0000	0.1784	1.0000
  239	81.70	0.0000	0.7995	0.9771	1.0000	0.1818	1.0000
  240	81.40	0.0000	0.7986	0.9770	1.0000	0.1826	1.0000
  241	81.90	0.0000	0.7962	0.9767	1.0000	0.1848	1.0000
  242	80.20	0.0000	0.7957	0.9766	1.0000	0.1853	1.0000
  243	80.80	0.0000	0.7985	0.9770	1.0000	0.1826	1.0000
  244	81.20	0.0000	0.7994	0.9771	1.0000	0.1819	1.0000
  245	80.90	0.0000	0.7970	0.9768	1.0000	0.1841	1.0000
  246	81.20	0.0000	0.7986	0.9770	1.0000	0.1827	1.0000
  247	79.70	0.0000	0.7981	0.9770	1.0000	0.1831	1.0000
  248	80.20	0.0000	0.7991	0.9771	1.0000	0.1821	1.0000
  249	80.50	0.0000	0.7971	0.9768	1.0000	0.1841	1.0000
  250	80.70	0.0000	0.7932	0.9764	1.0000	0.1876	1.0000
  251	80.50	0.0000	0.7927	0.9763	1.0000	0.1881	1.0000
  252	79.20	0.0000	0.7937	0.9764	1.0000	0.1871	1.0000
  253	78.60	0.0000	0.7943	0.9765	1.0000	0.1866	1.0000
  254	78.60	0.0000	0.7955	0.9767	1.0000	0.1855	1.0000
  255	78.40	0.0000	0.7931	0.9764	1.0000	0.1878	1.0000
  256	78.80	0.0000	0.7913	0.9762	1.0000	0.1894	1.0000
  257	78.20	0.0000	0.7891	0.9759	1.0000	0.1915	1.0000
  258	77.90	0.0000	0.7870	0.9757	1.0000	0.1934	1.0000
  259	77.90	0.0000	0.7874	0.9758	1.0000	0.1931	1.0000
  260	77.10	0.0000	0.7879	0.9759	1.0000	0.1926	1.0000
  261	77.00	0.0000	0.7877	0.9758	1.0000	0.1928	1.0000
  262	76.40	0.0000	0.7832	0.9753	1.0000	0.1969	1.0000
  263	76.30	0.0000	0.7838	0.9754	1.0000	0.1965	1.0000
  264	75.60	0.0000	0.7826	0.9753	1.0000	0.1975	1.0000
  265	75.60	0.0000	0.7842	0.9754	1.0000	0.1960	1.0000
  266	75.80	0.0000	0.7832	0.9753	1.0000	0.1970	1.0000
  267	75.50	0.0000	0.7805	0.9750	1.0000	0.1995	1.0000
  268	75.70	0.0000	0.7818	0.9752	1.0000	0.1982	1.0000
  269	73.80	0.0000	0.7828	0.9753	1.0000	0.1974	1.0000
  270	74.10	0.0000	0.7803	0.9750	1.0000	0.1997	1.0000
  271	74.10	0.0000	0.7758	0.9745	1.0000	0.2039	1.0000
  272	73.00	0.0000	0.7779	0.9747	1.0000	0.2020	1.0000
  273	73.70	0.0000	0.7800	0.9749	1.0000	0.1999	1.0000
  274	74.30	0.0000	0.7806	0.9750	1.0000	0.1994	1.0000
  275	73.70	0.0000	0.7777	0.9747	1.0000	0.2020	1.0000
  276	73.60	0.0000	0.7720	0.9740	1.0000	0.2074	1.0000
  277	72.00	0.0000	0.7676	0.9735	1.0000	0.2116	1.0000
  278	72.20	0.0000	0.7687	0.9736	1.0000	0.2105	1.0000
  279	72.50	0.0000	0.7660	0.9734	1.0000	0.2130	1.0000
  280	72.50	0.0000	0.7664	0.9734	1.0000	0.2127	1.0000
  281	72.70	0.0000	0.7614	0.9729	1.0000	0.2174	1.0000
  282	71.30	0.0000	0.7626	0.9730	1.0000	0.2162	1.0000
  283	70.90	0.0000	0.7636	0.9730	1.0000	0.2152	1.0000
  284	71.20	0.0000	0.7623	0.9729	1.0000	0.2164	1.0000
  285	70.90	0.0000	0.7592	0.9725	1.0000	0.2194	1.0000
  286	71.60	0.0000	0.7639	0.9730	1.0000	0.2150	1.0000
  287	71.00	0.0000	0.7682	0.9735	1.0000	0.2108	1.0000
  288	71.40	0.0000	0.7666	0.9733	1.0000	0.2123	1.0000
  289	71.60	0.0000	0.7668	0.9733	1.0000	0.2122	1.0000
  290	71.30	0.0000	0.7674	0.9734	1.0000	0.2116	1.0000
  291	70.40	0.0000	0.7681	0.9735	1.0000	0.2110	1.0000
  292	70.50	0.0000	0.7665	0.9732	1.0000	0.2124	1.0000
  293	70.80	0.0000	0.7622	0.9727	1.0000	0.2164	1.0000
  294	69.90	0.0000	0.7588	0.9724	1.0000	0.2196	1.0000
  295	70.30	0.0000	0.7566	0.9721	1.0000	0.2217	1.0000
  296	70.70	0.0000	0.7601	0.9725	1.0000	0.2184	1.0000
  297	69.50	0.0000	0.7543	0.9719	1.0000	0.2239	1.0000
  298	69.60	0.0000	0.7566	0.9722	1.0000	0.2217	1.0000
  299	69.80	0.0000	0.7561	0.9722	1.0000	0.2223	1.0000
  300	69.40	0.0000	0.7521	0.9717	1.0000	0.2260	1.0000
  301	68.00	0.0000	0.7479	0.9713	1.0000	0.2300	1.0000
  302	68.00	0.0000	0.7508	0.9716	1.0000	0.2273	1.0000
  303	68.20	0.0000	0.7540	0.9720	1.0000	0.2243	1.0000
  304	68.30	0.0000	0.7500	0.9716	1.0000	0.2281	1.0000
  305	68.00	0.0000	0.7477	0.9713	1.0000	0.2302	1.0000
  306	68.10	0.0000	0.7464	0.9712	1.0000	0.2315	1.0000
  307	68.10	0.0000	0.7470	0.9712	1.0000	0.2309	1.0000
  308	68.20	0.0000	0.7479	0.9713	1.0000	0.2300	1.0000
  309	68.50	0.0000	0.7453	0.9711	1.0000	0.2325	1.0000
  310	69.10	0.0000	0.7495	0.9715	1.0000	0.2286	1.0000
  311	68.30	0.0000	0.7450	0.9710	1.0000	0.2328	1.0000
  312	68.90	0.0000	0.7434	0.9708	1.0000	0.2342	1.0000
  313	69.20	0.0000	0.7451	0.9711	1.0000	0.2327	1.0000
  314	68.50	0.0000	0.7448	0.9711	1.0000	0.2330	1.0000
  315	69.00	0.0000	0.7490	0.9715	1.0000	0.2290	1.0000
  316	69.20	0.0000	0.7461	0.9712	1.0000	0.2318	1.0000
  317	68.50	0.0000	0.7473	0.9713	1.0000	0.2306	1.0000
  318	68.10	0.0000	0.7449	0.9710	1.0000	0.2329	1.0000
  319	67.90	0.0000	0.7467	0.9712	1.0000	0.2311	1.0000
  320	68.50	0.0000	0.7463	0.9712	1.0000	0.2316	1.0000
  321	67.80	0.0000	0.7449	0.9711	1.0000	0.2329	1.0000
  322	67.20	0.0000	0.7387	0.9704	1.0000	0.2388	1.0000
  323	66.90	0.0000	0.7380	0.9703	1.0000	0.2395	1.0000
  324	65.00	0.0000	0.7365	0.9702	1.0000	0.2409	1.0000
  325	65.50	0.0000	0.7358	0.9701	1.0000	0.2415	1.0000
  326	65.60	0.0000	0.7305	0.9696	1.0000	0.2465	1.0000
  327	65.40	0.0000	0.7267	0.9692	1.0000	0.2502	1.0000
  328	66.40	0.0000	0.7291	0.9694	1.0000	0.2478	1.0000
  329	65.70	0.0000	0.7299	0.9694	1.0000	0.2471	1.0000
  330	64.50	0.0000	0.7301	0.9695	1.0000	0.2469	1.0000
  331	64.00	0.0000	0.7330	0.9698	1.0000	0.2441	1.0000
  332	63.90	0.0000	0.7285	0.9693	1.0000	0.2484	1.0000
  333	64.00	0.0000	0.7238	0.9688	1.0000	0.2529	1.0000
  334	64.10	0.0000	0.7247	0.9689	1.0000	0.2520	1.0000
  335	64.80	0.0000	0.7253	0.9690	1.0000	0.2515	1.0000
  336	64.50	0.0000	0.7264	0.9691	1.0000	0.2505	1.0000
  337	63.40	0.0000	0.7237	0.9688	1.0000	0.2530	1.0000
  338	63.50	0.0000	0.7213	0.9686	1.0000	0.2553	1.0000
  339	64.00	0.0000	0.7208	0.9685	1.0000	0.2558	1.0000
  340	64.40	0.0000	0.7187	0.9683	1.0000	0.2578	1.0000
  341	64.60	0.0000	0.7198	0.9684	1.0000	0.2567	1.0000
  342	64.50	0.0000	0.7141	0.9678	1.0000	0.2621	1.0000
  343	64.30	0.0000	0.7149	0.9679	1.0000	0.2613	1.0000
  344	64.60	0.0000	0.7126	0.9676	1.0000	0.2635	1.0000
  345	64.50	0.0000	0.7133	0.9677	1.0000	0.2629	1.0000
  346	64.50	0.0000	0.7155	0.9679	1.0000	0.2608	1.0000
  347	64.60	0.0000	0.7144	0.9677	1.0000	0.2618	1.0000
  348	64.00	0.0000	0.7104	0.9673	1.0000	0.2656	1.0000
  349	63.70	0.0000	0.7109	0.9673	1.0000	0.2651	1.0000
  350	63.50	0.0000	0.7081	0.9670	1.0000	0.2678	1.0000
  351	63.50	0.0000	0.7059	0.9668	1.0000	0.2698	1.0000
  352	63.30	0.0000	0.7053	0.9667	1.0000	0.2704	1.0000
  353	63.30	0.0000	0.7060	0.9668	1.0000	0.2698	1.0000
  354	62.70	0.0000	0.7014	0.9663	1.0000	0.2741	1.0000
  355	62.80	0.0000	0.7000	0.9662	1.0000	0.2755	1.0000
  356	62.10	0.0000	0.7022	0.9664	1.0000	0.2734	1.0000
  357	60.80	0.0000	0.7068	0.9669	1.0000	0.2690	1.0000
  358	60.10	0.0000	0.7055	0.9668	1.0000	0.2703	1.0000
  359	60.40	0.0000	0.6983	0.9660	1.0000	0.2771	1.0000
  360	59.90	0.0000	0.7018	0.9664	1.0000	0.2738	1.0000
  361	59.90	0.0000	0.7023	0.9664	1.0000	0.2733	1.0000
  362	58.80	0.0000	0.7034	0.9666	1.0000	0.2723	1.0000
  363	58.60	0.0000	0.6986	0.9660	1.0000	0.2768	1.0000
  364	58.90	0.0000	0.6978	0.9659	1.0000	0.2776	1.0000
  365	58.50	0.0000	0.7014	0.9663	1.0000	0.2741	1.0000
  366	58.30	0.0000	0.6976	0.9659	1.0000	0.2778	1.0000
  367	59.30	0.0000	0.6963	0.9658	1.0000	0.2790	1.0000
  368	58.30	0.0000	0.6940	0.9655	1.0000	0.2812	1.0000
  369	57.80	0.0000	0.6919	0.9653	1.0000	0.2832	1.0000
  370	58.90	0.0000	0.6889	0.9650	1.0000	0.2861	1.0000
  371	58.80	0.0000	0.6870	0.9648	1.0000	0.2879	1.0000
  372	58.80	0.0000	0.6879	0.9649	1.0000	0.2870	1.0000
  373	58.10	0.0000	0.6842	0.9645	1.0000	0.2906	1.0000
  374	58.70	0.0000	0.6794	0.9639	1.0000	0.2952	1.0000
  375	59.00	0.0000	0.6811	0.9641	1.0000	0.2935	1.0000
  376	57.80	0.0000	0.6797	0.9640	1.0000	0.2949	1.0000
  377	57.70	0.0000	0.6844	0.9645	1.0000	0.2904	1.0000
  378	58.20	0.0000	0.6849	0.9646	1.0000	0.2899	1.0000
  379	58.40	0.0000	0.6845	0.9645	1.0000	0.2903	1.0000
  380	57.70	0.0000	0.6844	0.9645	1.0000	0.2904	1.0000
  381	57.50	0.0000	0.6765	0.9636	1.0000	0.2980	1.0000
  382	57.00	0.0000	0.6805	0.9641	1.0000	0.2942	1.0000
  383	57.20	0.0000	0.6729	0.9633	1.0000	0.3015	1.0000
  384	57.20	0.0000	0.6745	0.9635	1.0000	0.2999	1.0000
  385	57.70	0.0000	0.6776	0.9638	1.0000	0.2969	1.0000
  386	58.30	0.0000	0.6807	0.9641	1.0000	0.2940	1.0000
  387	57.80	0.0000	0.6784	0.9639	1.0000	0.2962	1.0000
  388	57.80	0.0000	0.6789	0.9639	1.0000	0.2957	1.0000
  389	58.50	0.0000	0.6723	0.9632	1.0000	0.3019	1.0000
  390	58.20	0.0000	0.6749	0.9635	1.0000	0.2995	1.0000
  391	58.10	0.0000	0.6751	0.9635	1.0000	0.2993	1.0000
  392	58.50	0.0000	0.6718	0.9631	1.0000	0.3024	1.0000
  393	58.30	0.0000	0.6692	0.9628	1.0000	0.3049	1.0000
  394	59.20	0.0000	0.6768	0.9636	1.0000	0.2977	1.0000
  395	59.30	0.0000	0.6764	0.9636	1.0000	0.2980	1.0000
  396	57.50	0.0000	0.6767	0.9636	1.0000	0.2977	1.0000
  397	57.30	0.0000	0.6722	0.9631	1.0000	0.3020	1.0000
  398	57.40	0.0000	0.6701	0.9628	1.0000	0.3041	1.0000
  399	57.10	0.0000	0.6715	0.9630	1.0000	0.3027	1.0000
  400	56.90	0.0000	0.6693	0.9628	1.0000	0.3048	1.0000
  401	56.40	0.0000	0.6653	0.9624	1.0000	0.3086	1.0000
  402	56.50	0.0000	0.6683	0.9627	1.0000	0.3058	1.0000
  403	55.70	0.0000	0.6700	0.9629	1.0000	0.3041	1.0000
  404	54.90	0.0000	0.6706	0.9629	1.0000	0.3036	1.0000
  405	55.30	0.0000	0.6670	0.9625	1.0000	0.3071	1.0000
  406	54.70	0.0000	0.6644	0.9622	1.0000	0.3095	1.0000
  407	54.40	0.0000	0.6643	0.9622	1.0000	0.3096	1.0000
  408	55.10	0.0000	0.6617	0.9619	1.0000	0.3121	1.0000
  409	55.40	0.0000	0.6630	0.9621	1.0000	0.3109	1.0000
  410	55.60	0.0000	0.6691	0.9628	1.0000	0.3050	1.0000
  411	56.10	0.0000	0.6727	0.9632	1.0000	0.3015	1.0000
  412	56.00	0.0000	0.6762	0.9636	1.0000	0.2983	1.0000
  413	56.50	0.0000	0.6759	0.9635	1.0000	0.2986	1.0000
  414	56.00	0.0000	0.6777	0.9637	1.0000	0.2968	1.0000
  415	55.30	0.0000	0.6755	0.9635	1.0000	0.2989	1.0000
  416	55.50	0.0000	0.6762	0.9636	1.0000	0.2982	1.0000
  417	55.00	0.0000	0.6782	0.9638	1.0000	0.2964	1.0000
  418	53.60	0.0000	0.6774	0.9638	1.0000	0.2971	1.0000
  419	54.10	0.0000	0.6775	0.9638	1.0000	0.2970	1.0000
  420	53.30	0.0000	0.6751	0.9635	1.0000	0.2993	1.0000
  421	52.40	0.0000	0.6737	0.9634	1.0000	0.3007	1.0000
  422	53.10	0.0000	0.6721	0.9632	1.0000	0.3022	1.0000
  423	52.30	0.0000	0.6694	0.9629	1.0000	0.3048	1.0000
  424	52.60	0.0000	0.6647	0.9624	1.0000	0.3093	1.0000
  425	52.30	0.0000	0.6600	0.9619	1.0000	0.3139	1.0000
  426	51.90	0.0000	0.6585	0.9618	1.0000	0.3153	1.0000
  427	52.40	0.0000	0.6473	0.9605	1.0000	0.3261	1.0000
  428	52.70	0.0000	0.6478	0.9606	1.0000	0.3257	1.0000
  429	52.30	0.0000	0.6437	0.9601	1.0000	0.3296	1.0000
  430	51.70	0.0000	0.6446	0.9602	1.0000	0.3287	1.0000
  431	52.20	0.0000	0.6445	0.9602	1.0000	0.3288	1.0000
  432	52.10	0.0000	0.6436	0.9601	1.0000	0.3296	1.0000
  433	52.20	0.0000	0.6371	0.9594	1.0000	0.3360	1.0000
  434	52.70	0.0000	0.6313	0.9587	1.0000	0.3416	1.0000
  435	51.80	0.0000	0.6284	0.9584	1.0000	0.3444	1.0000
  436	52.20	0.0000	0.6282	0.9584	1.0000	0.3446	1.0000
  437	52.00	0.0000	0.6302	0.9586	1.0000	0.3426	1.0000
  438	52.00	0.0000	0.6276	0.9584	1.0000	0.3451	1.0000
  439	52.30	0.0000	0.6221	0.9577	1.0000	0.3505	1.0000
  440	51.90	0.0000	0.6208	0.9576	1.0000	0.3517	1.0000
  441	51.60	0.0000	0.6121	0.9567	1.0000	0.3602	1.0000
  442	51.70	0.0000	0.6176	0.9573	1.0000	0.3548	1.0000
  443	51.90	0.0000	0.6151	0.9570	1.0000	0.3573	1.0000
  444	51.80	0.0000	0.6186	0.9574	1.0000	0.3538	1.0000
  445	52.10	0.0000	0.6186	0.9574	1.0000	0.3539	1.0000
  446	51.80	0.0000	0.6164	0.9572	1.0000	0.3560	1.0000
  447	52.20	0.0000	0.6164	0.9572	1.0000	0.3560	1.0000
  448	51.40	0.0000	0.6147	0.9570	1.0000	0.3577	1.0000
  449	51.80	0.0000	0.6229	0.9579	1.0000	0.3497	1.0000
  450	51.70	0.0000	0.6208	0.9577	1.0000	0.3517	1.0000
  451	51.30	0.0000	0.6277	0.9584	1.0000	0.3451	1.0000
  452	50.80	0.0000	0.6283	0.9585	1.0000	0.3445	1.0000
  453	51.90	0.0000	0.6270	0.9584	1.0000	0.3457	1.0000
  454	50.60	0.0000	0.6189	0.9575	1.0000	0.3536	1.0000
  455	51.00	0.0000	0.6170	0.9573	1.0000	0.3554	1.0000
  456	50.10	0.0000	0.6127	0.9568	1.0000	0.3596	1.0000
  457	50.40	0.0000	0.6127	0.9568	1.0000	0.3596	1.0000
  458	51.00	0.0000	0.6136	0.9569	1.0000	0.3588	1.0000
  459	51.20	0.0000	0.6110	0.9566	1.0000	0.3613	1.0000
  460	50.40	0.0000	0.6093	0.9564	1.0000	0.3629	1.0000
  461	51.20	0.0000	0.6168	0.9572	1.0000	0.3556	1.0000
  462	51.00	0.0000	0.6220	0.9578	1.0000	0.3506	1.0000
  463	50.80	0.0000	0.6223	0.9578	1.0000	0.3503	1.0000
  464	50.80	0.0000	0.6208	0.9576	1.0000	0.3517	1.0000
  465	50.80	0.0000	0.6261	0.9582	1.0000	0.3465	1.0000
  466	50.50	0.0000	0.6254	0.9581	1.0000	0.3473	1.0000
  467	50.60	0.0000	0.6297	0.9586	1.0000	0.3431	1.0000
  468	50.60	0.0000	0.6230	0.9579	1.0000	0.3496	1.0000
  469	50.50	0.0000	0.6252	0.9581	1.0000	0.3474	1.0000
  470	50.70	0.0000	0.6301	0.9586	1.0000	0.3427	1.0000
  471	49.80	0.0000	0.6213	0.9577	1.0000	0.3512	1.0000
  472	50.20	0.0000	0.6218	0.9577	1.0000	0.3508	1.0000
  473	50.10	0.0000	0.6192	0.9575	1.0000	0.3533	1.0000
  474	49.40	0.0000	0.6186	0.9574	1.0000	0.3539	1.0000
  475	49.10	0.0000	0.6168	0.9572	1.0000	0.3556	1.0000
  476	49.30	0.0000	0.6209	0.9576	1.0000	0.3516	1.0000
  477	48.90	0.0000	0.6205	0.9576	1.0000	0.3520	1.0000
  478	49.20	0.0000	0.6201	0.9575	1.0000	0.3523	1.0000
  479	48.90	0.0000	0.6201	0.9575	1.0000	0.3524	1.0000
  480	48.70	0.0000	0.6168	0.9572	1.0000	0.3556	1.0000
  481	48.50	0.0000	0.6177	0.9573	1.0000	0.3547	1.0000
  482	48.80	0.0000	0.6130	0.9567	1.0000	0.3593	1.0000
  483	48.60	0.0000	0.6010	0.9554	1.0000	0.3710	1.0000
  484	47.50	0.0000	0.5966	0.9549	1.0000	0.3752	1.0000
  485	47.30	0.0000	0.5969	0.9549	1.0000	0.3749	1.0000
  486	47.40	0.0000	0.5959	0.9548	1.0000	0.3759	1.0000
  487	47.40	0.0000	0.5909	0.9542	1.0000	0.3808	1.0000
  488	47.80	0.0000	0.5891	0.9540	1.0000	0.3825	1.0000
