    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	996.10	0.0000	0.9987	0.9989	1.0000	0.0002	1.0000
    2	985.10	0.0000	0.9985	0.9988	1.0000	0.0003	1.0000
    3	966.10	0.0000	0.9984	0.9987	1.0000	0.0003	1.0000
    4	937.70	0.0000	0.9982	0.9986	1.0000	0.0003	1.0000
    5	911.20	0.0000	0.9981	0.9985	1.0000	0.0004	1.0000
    6	880.80	0.0000	0.9980	0.9983	1.0000	0.0004	1.0000
    7	847.20	0.0000	0.9978	0.9982	1.0000	0.0004	1.0000
    8	817.60	0.0000	0.9977	0.9981	1.0000	0.0004	1.0000
    9	785.60	0.0000	0.9977	0.9980	1.0000	0.0004	1.0000
   10	758.20	0.0000	0.9975	0.9979	1.0000	0.0004	1.0000
   11	734.90	0.0000	0.9974	0.9978	1.0000	0.0004	1.0000
   12	712.30	0.0000	0.9973	0.9977	1.0000	0.0004	1.0000
   13	689.00	0.0000	0.9972	0.9976	1.0000	0.0004	1.0000
   14	661.00	0.0000	0.9971	0.9975	1.0000	0.0004	1.0000
   15	641.70	0.0000	0.9970	0.9974	1.0000	0.0004	1.0000
   16	623.20	0.0000	0.9968	0.9972	1.0000	0.0004	1.0000
   17	603.40	0.0000	0.9967	0.9971	1.0000	0.0004	1.0000
   18	585.90	0.0000	0.9966	0.9970	1.0000	0.0004	1.0000
   19	570.50	0.0000	0.9966	0.9969	1.0000	0.0004	1.0000
   20	555.30	0.0000	0.9964	0.9968	1.0000	0.0004	1.0000
   21	537.30	0.0000	0.9963	0.9967	1.0000	0.0004	1.0000
   22	522.60	0.0000	0.9962	0.9966	1.0000	0.0003	1.0000
   23	508.90	0.0000	0.9961	0.9965	1.0000	0.0003	1.0000
   24	494.60	0.0000	0.9960	0.9964	1.0000	0.0003	1.0000
   25	478.40	0.0000	0.9958	0.9962	1.0000	0.0004	1.0000
   26	455.70	0.0000	0.9957	0.9961	1.0000	0.0004	1.0000
   27	440.10	0.0000	0.9956	0.9960	1.0000	0.0004	1.0000
   28	431.50	0.0000	0.9955	0.9959	1.0000	0.0004	1.0000
   29	425.90	0.0000	0.9954	0.9958	1.0000	0.0004	1.0000
   30	415.20	0.0000	0.9953	0.9957	1.0000	0.0004	1.0000
   31	403.10	0.0000	0.9951	0.9956	1.0000	0.0004	1.0000
   32	398.00	0.0000	0.9951	0.9955	1.0000	0.0004	1.0000
   33	393.80	0.0000	0.9952	0.9955	1.0000	0.0004	1.0000
   34	387.70	0.0000	0.9950	0.9954	1.0000	0.0004	1.0000
   35	379.50	0.0000	0.9950	0.9953	1.0000	0.0004	1.0000
   36	373.40	0.0000	0.9948	0.9952	1.0000	0.0004	1.0000
   37	369.20	0.0000	0.9947	0.9950	1.0000	0.0003	1.0000
   38	363.30	0.0000	0.9946	0.9950	1.0000	0.0004	1.0000
   39	357.90	0.0000	0.9946	0.9950	1.0000	0.0004	1.0000
   40	351.50	0.0000	0.9946	0.9949	1.0000	0.0003	1.0000
   41	346.20	0.0000	0.9944	0.9948	1.0000	0.0004	1.0000
   42	342.80	0.0000	0.9943	0.9947	1.0000	0.0004	1.0000
   43	335.30	0.0000	0.9942	0.9946	1.0000	0.0004	1.0000
   44	329.80	0.0000	0.9940	0.9944	1.0000	0.0003	1.0000
   45	322.20	0.0000	0.9938	0.9943	1.0000	0.0005	1.0000
   46	313.80	0.0000	0.9937	0.9941	1.0000	0.0004	1.0000
   47	308.30	0.0000	0.9936	0.9939	1.0000	0.0004	1.0000
   48	304.30	0.0000	0.9935	0.9938	1.0000	0.0003	1.0000
   49	300.40	0.0000	0.9935	0.9938	1.0000	0.0003	1.0000
   50	298.20	0.0000	0.9934	0.9938	1.0000	0.0004	1.0000
   51	293.50	0.0000	0.9932	0.9936	1.0000	0.0004	1.0000
   52	290.50	0.0000	0.9929	0.9934	1.0000	0.0004	1.0000
   53	285.90	0.0000	0.9927	0.9931	1.0000	0.0004	1.0000
   54	279.80	0.0000	0.9928	0.9932	1.0000	0.0004	1.0000
   55	275.50	0.0000	0.9926	0.9931	1.0000	0.0005	1.0000
   56	269.00	0.0000	0.9926	0.9930	1.0000	0.0004	1.0000
   57	265.70	0.0000	0.9924	0.9927	1.0000	0.0004	1.0000
   58	262.10	0.0000	0.9921	0.9925	1.0000	0.0004	1.0000
   59	256.30	0.0000	0.9922	0.9925	1.0000	0.0003	1.0000
   60	255.80	0.0000	0.9921	0.9925	1.0000	0.0004	1.0000
   61	251.80	0.0000	0.9921	0.9925	1.0000	0.0004	1.0000
   62	249.70	0.0000	0.9921	0.9925	1.0000	0.0004	1.0000
   63	246.40	0.0000	0.9918	0.9923	1.0000	0.0005	1.0000
   64	241.70	0.0000	0.9918	0.9923	1.0000	0.0004	1.0000
   65	236.80	0.0000	0.9920	0.9923	1.0000	0.0003	1.0000
   66	235.30	0.0000	0.9920	0.9922	1.0000	0.0003	1.0000
